fecha,cod_distrito,distrito,num_personas,geometry
2018,1,Centro,132352,POINT (-412316.261949206 4926652.8056437345)
2018,2,Arganzuela,152907,POINT (-411603.817208129 4924079.793666258)
2018,3,Retiro,119011,POINT (-409288.37179962895 4925848.667118731)
2018,4,Salamanca,145268,POINT (-409433.0871376602 4928583.006342677)
2018,5,Chamartín,144894,POINT (-409444.2190867395 4931815.478580106)
2018,6,Tetuán,155967,POINT (-412249.4702547301 4932751.777624055)
2018,7,Chamberí,138418,POINT (-412293.99805104727 4929153.365411701)
2018,8,Fuencarral-El Pardo,242928,POINT (-412817.19965777575 4939176.60971017)
2018,9,Moncloa-Aravaca,117835,POINT (-414999.06167732395 4929811.5131371515)
2018,10,Latina,235785,POINT (-416891.49302080955 4923758.214469633)
2018,11,Carabanchel,248220,POINT (-416435.0831085571 4921653.591873515)
2018,12,Usera,136978,POINT (-412683.6162688238 4921463.6133657945)
2018,13,Puente de Vallecas,230488,POINT (-407674.2391831264 4922062.788804204)
2018,14,Moratalaz,94261,POINT (-405804.07173779944 4925351.596174395)
2018,15,Ciudad Lineal,214463,POINT (-406505.3845297971 4930893.896298119)
2018,16,Hortaleza,183930,POINT (-405837.4675850375 4935151.451127524)
2018,17,Villaverde,145523,POINT (-411002.69195784535 4915488.468024191)
2018,18,Villa de Vallecas,107649,POINT (-403855.9806489172 4920645.286316011)
2018,19,Vicálvaro,70962,POINT (-400861.4863465781 4924357.529610967)
2018,20,San Blas-Canillejas,156149,POINT (-402486.7509121599 4930045.531833049)
2018,21,Barajas,47836,POINT (-398468.11729452276 4934756.34263267)
2019,1,Centro,134881,POINT (-412316.261949206 4926652.8056437345)
2019,2,Arganzuela,153830,POINT (-411603.817208129 4924079.793666258)
2019,3,Retiro,119379,POINT (-409288.37179962895 4925848.667118731)
2019,4,Salamanca,146148,POINT (-409433.0871376602 4928583.006342677)
2019,5,Chamartín,145865,POINT (-409444.2190867395 4931815.478580106)
2019,6,Tetuán,157937,POINT (-412249.4702547301 4932751.777624055)
2019,7,Chamberí,139448,POINT (-412293.99805104727 4929153.365411701)
2019,8,Fuencarral-El Pardo,246021,POINT (-412817.19965777575 4939176.60971017)
2019,9,Moncloa-Aravaca,119423,POINT (-414999.06167732395 4929811.5131371515)
2019,10,Latina,238154,POINT (-416891.49302080955 4923758.214469633)
2019,11,Carabanchel,253040,POINT (-416435.0831085571 4921653.591873515)
2019,12,Usera,139501,POINT (-412683.6162688238 4921463.6133657945)
2019,13,Puente de Vallecas,234770,POINT (-407674.2391831264 4922062.788804204)
2019,14,Moratalaz,94609,POINT (-405804.07173779944 4925351.596174395)
2019,15,Ciudad Lineal,216270,POINT (-406505.3845297971 4930893.896298119)
2019,16,Hortaleza,188267,POINT (-405837.4675850375 4935151.451127524)
2019,17,Villaverde,148883,POINT (-411002.69195784535 4915488.468024191)
2019,18,Villa de Vallecas,110436,POINT (-403855.9806489172 4920645.286316011)
2019,19,Vicálvaro,72126,POINT (-400861.4863465781 4924357.529610967)
2019,20,San Blas-Canillejas,158166,POINT (-402486.7509121599 4930045.531833049)
2019,21,Barajas,48972,POINT (-398468.11729452276 4934756.34263267)
2020,1,Centro,140473,POINT (-412316.261949206 4926652.8056437345)
2020,2,Arganzuela,155660,POINT (-411603.817208129 4924079.793666258)
2020,3,Retiro,120406,POINT (-409288.37179962895 4925848.667118731)
2020,4,Salamanca,147854,POINT (-409433.0871376602 4928583.006342677)
2020,5,Chamartín,147551,POINT (-409444.2190867395 4931815.478580106)
2020,6,Tetuán,161313,POINT (-412249.4702547301 4932751.777624055)
2020,7,Chamberí,140866,POINT (-412293.99805104727 4929153.365411701)
2020,8,Fuencarral-El Pardo,249973,POINT (-412817.19965777575 4939176.60971017)
2020,9,Moncloa-Aravaca,121683,POINT (-414999.06167732395 4929811.5131371515)
2020,10,Latina,242139,POINT (-416891.49302080955 4923758.214469633)
2020,11,Carabanchel,260196,POINT (-416435.0831085571 4921653.591873515)
2020,12,Usera,142894,POINT (-412683.6162688238 4921463.6133657945)
2020,13,Puente de Vallecas,240867,POINT (-407674.2391831264 4922062.788804204)
2020,14,Moratalaz,95614,POINT (-405804.07173779944 4925351.596174395)
2020,15,Ciudad Lineal,219867,POINT (-406505.3845297971 4930893.896298119)
2020,16,Hortaleza,193264,POINT (-405837.4675850375 4935151.451127524)
2020,17,Villaverde,154318,POINT (-411002.69195784535 4915488.468024191)
2020,18,Villa de Vallecas,114512,POINT (-403855.9806489172 4920645.286316011)
2020,19,Vicálvaro,74048,POINT (-400861.4863465781 4924357.529610967)
2020,20,San Blas-Canillejas,161222,POINT (-402486.7509121599 4930045.531833049)
2020,21,Barajas,50010,POINT (-398468.11729452276 4934756.34263267)
2021,1,Centro,141236,POINT (-412316.261949206 4926652.8056437345)
2021,2,Arganzuela,154243,POINT (-411603.817208129 4924079.793666258)
2021,3,Retiro,118557,POINT (-409288.37179962895 4925848.667118731)
2021,4,Salamanca,146016,POINT (-409433.0871376602 4928583.006342677)
2021,5,Chamartín,145700,POINT (-409444.2190867395 4931815.478580106)
2021,6,Tetuán,159849,POINT (-412249.4702547301 4932751.777624055)
2021,7,Chamberí,138667,POINT (-412293.99805104727 4929153.365411701)
2021,8,Fuencarral-El Pardo,247692,POINT (-412817.19965777575 4939176.60971017)
2021,9,Moncloa-Aravaca,120834,POINT (-414999.06167732395 4929811.5131371515)
2021,10,Latina,240155,POINT (-416891.49302080955 4923758.214469633)
2021,11,Carabanchel,258633,POINT (-416435.0831085571 4921653.591873515)
2021,12,Usera,142454,POINT (-412683.6162688238 4921463.6133657945)
2021,13,Puente de Vallecas,239057,POINT (-407674.2391831264 4922062.788804204)
2021,14,Moratalaz,93810,POINT (-405804.07173779944 4925351.596174395)
2021,15,Ciudad Lineal,216818,POINT (-406505.3845297971 4930893.896298119)
2021,16,Hortaleza,193228,POINT (-405837.4675850375 4935151.451127524)
2021,17,Villaverde,154808,POINT (-411002.69195784535 4915488.468024191)
2021,18,Villa de Vallecas,114733,POINT (-403855.9806489172 4920645.286316011)
2021,19,Vicálvaro,75485,POINT (-400861.4863465781 4924357.529610967)
2021,20,San Blas-Canillejas,160258,POINT (-402486.7509121599 4930045.531833049)
2021,21,Barajas,50077,POINT (-398468.11729452276 4934756.34263267)
2022,1,Centro,139682,POINT (-412316.261949206 4926652.8056437345)
2022,2,Arganzuela,152638,POINT (-411603.817208129 4924079.793666258)
2022,3,Retiro,117672,POINT (-409288.37179962895 4925848.667118731)
2022,4,Salamanca,145457,POINT (-409433.0871376602 4928583.006342677)
2022,5,Chamartín,144371,POINT (-409444.2190867395 4931815.478580106)
2022,6,Tetuán,157433,POINT (-412249.4702547301 4932751.777624055)
2022,7,Chamberí,137287,POINT (-412293.99805104727 4929153.365411701)
2022,8,Fuencarral-El Pardo,246281,POINT (-412817.19965777575 4939176.60971017)
2022,9,Moncloa-Aravaca,120360,POINT (-414999.06167732395 4929811.5131371515)
2022,10,Latina,237048,POINT (-416891.49302080955 4923758.214469633)
2022,11,Carabanchel,255514,POINT (-416435.0831085571 4921653.591873515)
2022,12,Usera,140808,POINT (-412683.6162688238 4921463.6133657945)
2022,13,Puente de Vallecas,235638,POINT (-407674.2391831264 4922062.788804204)
2022,14,Moratalaz,92390,POINT (-405804.07173779944 4925351.596174395)
2022,15,Ciudad Lineal,213905,POINT (-406505.3845297971 4930893.896298119)
2022,16,Hortaleza,195017,POINT (-405837.4675850375 4935151.451127524)
2022,17,Villaverde,153829,POINT (-411002.69195784535 4915488.468024191)
2022,18,Villa de Vallecas,114817,POINT (-403855.9806489172 4920645.286316011)
2022,19,Vicálvaro,79328,POINT (-400861.4863465781 4924357.529610967)
2022,20,San Blas-Canillejas,158783,POINT (-402486.7509121599 4930045.531833049)
2022,21,Barajas,48404,POINT (-398468.11729452276 4934756.34263267)
2023,1,Centro,139687,POINT (-412316.261949206 4926652.8056437345)
2023,2,Arganzuela,153304,POINT (-411603.817208129 4924079.793666258)
2023,3,Retiro,117918,POINT (-409288.37179962895 4925848.667118731)
2023,4,Salamanca,145702,POINT (-409433.0871376602 4928583.006342677)
2023,5,Chamartín,144796,POINT (-409444.2190867395 4931815.478580106)
2023,6,Tetuán,160002,POINT (-412249.4702547301 4932751.777624055)
2023,7,Chamberí,138204,POINT (-412293.99805104727 4929153.365411701)
2023,8,Fuencarral-El Pardo,248443,POINT (-412817.19965777575 4939176.60971017)
2023,9,Moncloa-Aravaca,121757,POINT (-414999.06167732395 4929811.5131371515)
2023,10,Latina,241672,POINT (-416891.49302080955 4923758.214469633)
2023,11,Carabanchel,262339,POINT (-416435.0831085571 4921653.591873515)
2023,12,Usera,142746,POINT (-412683.6162688238 4921463.6133657945)
2023,13,Puente de Vallecas,241603,POINT (-407674.2391831264 4922062.788804204)
2023,14,Moratalaz,92814,POINT (-405804.07173779944 4925351.596174395)
2023,15,Ciudad Lineal,220345,POINT (-406505.3845297971 4930893.896298119)
2023,16,Hortaleza,198391,POINT (-405837.4675850375 4935151.451127524)
2023,17,Villaverde,159038,POINT (-411002.69195784535 4915488.468024191)
2023,18,Villa de Vallecas,117501,POINT (-403855.9806489172 4920645.286316011)
2023,19,Vicálvaro,83804,POINT (-400861.4863465781 4924357.529610967)
2023,20,San Blas-Canillejas,161219,POINT (-402486.7509121599 4930045.531833049)
2023,21,Barajas,48646,POINT (-398468.11729452276 4934756.34263267)
2024,1,Centro,145411,POINT (-412316.261949206 4926652.8056437345)
2024,2,Arganzuela,156559,POINT (-411603.817208129 4924079.793666258)
2024,3,Retiro,119757,POINT (-409288.37179962895 4925848.667118731)
