name,cod_distrito,distrito,geometry
#PORNEAT,15,Ciudad Lineal,POINT (-3.6517 40.4455)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,14,Moratalaz,POINT (-3.6454 40.4076)
100 Montaditos,10,Latina,POINT (-3.745 40.3967)
100 Montaditos,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
100 Montaditos,6,Tetuán,POINT (-3.7033 40.4582)
100 Montaditos,11,Carabanchel,POINT (-3.7409 40.3823)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,21,Barajas,POINT (-3.5795 40.4719)
100 Montaditos,5,Chamartín,POINT (-3.6781 40.4518)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,18,Villa de Vallecas,POINT (-3.6279 40.3754)
100 Montaditos,2,Arganzuela,POINT (-3.6975 40.3989)
100 Montaditos,2,Arganzuela,POINT (-3.6975 40.3989)
100 Montaditos,16,Hortaleza,POINT (-3.6457 40.4746)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,4,Salamanca,POINT (-3.678 40.4297)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,6,Tetuán,POINT (-3.7033 40.4582)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,6,Tetuán,POINT (-3.7033 40.4582)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
100 Montaditos,6,Tetuán,POINT (-3.7033 40.4582)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,12,Usera,POINT (-3.7072 40.381)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,11,Carabanchel,POINT (-3.7409 40.3823)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,16,Hortaleza,POINT (-3.6457 40.4746)
100 Montaditos,16,Hortaleza,POINT (-3.6457 40.4746)
100 Montaditos,5,Chamartín,POINT (-3.6781 40.4518)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,2,Arganzuela,POINT (-3.6975 40.3989)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,4,Salamanca,POINT (-3.678 40.4297)
100 Montaditos,2,Arganzuela,POINT (-3.6975 40.3989)
100 Montaditos,7,Chamberí,POINT (-3.7037 40.4336)
100 Montaditos,16,Hortaleza,POINT (-3.6457 40.4746)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,3,Retiro,POINT (-3.6767 40.411)
100 Montaditos,1,Centro,POINT (-3.7039 40.4165)
100 Montaditos,6,Tetuán,POINT (-3.7033 40.4582)
1407 Madrid,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
19 Sushi,1,Centro,POINT (-3.7039 40.4165)
2 Arcos,18,Villa de Vallecas,POINT (-3.6279 40.3754)
20 a la cata,4,Salamanca,POINT (-3.678 40.4297)
37 Tapitas,7,Chamberí,POINT (-3.7037 40.4336)
38 de Larumbe,4,Salamanca,POINT (-3.678 40.4297)
40 Tapas,4,Salamanca,POINT (-3.678 40.4297)
40ycuatro,18,Villa de Vallecas,POINT (-3.6279 40.3754)
44 Sushi Bar,1,Centro,POINT (-3.7039 40.4165)
5 Reinas,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
500° Crust,2,Arganzuela,POINT (-3.6975 40.3989)
68 Yong Tai,2,Arganzuela,POINT (-3.6975 40.3989)
80 grados,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
87 Millas,7,Chamberí,POINT (-3.7037 40.4336)
99 Sushi Bar,4,Salamanca,POINT (-3.678 40.4297)
A Cañada,1,Centro,POINT (-3.7039 40.4165)
A Cañada,2,Arganzuela,POINT (-3.6975 40.3989)
A Cañada,1,Centro,POINT (-3.7039 40.4165)
A Lareira,1,Centro,POINT (-3.7039 40.4165)
A Miña Gaita,1,Centro,POINT (-3.7039 40.4165)
A Pota D'Ouro,1,Centro,POINT (-3.7039 40.4165)
A Ri Rang,1,Centro,POINT (-3.7039 40.4165)
A Ría de Noia,1,Centro,POINT (-3.7039 40.4165)
A la caña,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
A las bravas,13,Puente de Vallecas,POINT (-3.6622 40.3851)
A picnic,3,Retiro,POINT (-3.6767 40.411)
A'Barca Muxia,12,Usera,POINT (-3.7072 40.381)
A'Barra,4,Salamanca,POINT (-3.678 40.4297)
A'Brasas,11,Carabanchel,POINT (-3.7409 40.3823)
A'Gaviotiña,17,Villaverde,POINT (-3.6921 40.3401)
AREDNA,7,Chamberí,POINT (-3.7037 40.4336)
ARIMA,7,Chamberí,POINT (-3.7037 40.4336)
AS89,16,Hortaleza,POINT (-3.6457 40.4746)
Abanto Taberna de Barrio,4,Salamanca,POINT (-3.678 40.4297)
Abascal,7,Chamberí,POINT (-3.7037 40.4336)
Abbasïd,1,Centro,POINT (-3.7039 40.4165)
Ablanedo,7,Chamberí,POINT (-3.7037 40.4336)
Aboca,15,Ciudad Lineal,POINT (-3.6517 40.4455)
About Voodoo,1,Centro,POINT (-3.7039 40.4165)
Abrasador,1,Centro,POINT (-3.7039 40.4165)
Abrazzas,11,Carabanchel,POINT (-3.7409 40.3823)
Aceytuna,7,Chamberí,POINT (-3.7037 40.4336)
Achuri,2,Arganzuela,POINT (-3.6975 40.3989)
Acqua In Bocca Trattoria,3,Retiro,POINT (-3.6767 40.411)
Adil Doner Kebab,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Adrak,4,Salamanca,POINT (-3.678 40.4297)
Agra Palace,1,Centro,POINT (-3.7039 40.4165)
Ainhoa,1,Centro,POINT (-3.7039 40.4165)
Airiños,7,Chamberí,POINT (-3.7037 40.4336)
Airiños,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Airiños do Miño,7,Chamberí,POINT (-3.7037 40.4336)
Akasaka,7,Chamberí,POINT (-3.7037 40.4336)
Al Jaima La Cocina del Desierto 2,1,Centro,POINT (-3.7039 40.4165)
Al Paseo,5,Chamartín,POINT (-3.6781 40.4518)
Al Punto,7,Chamberí,POINT (-3.7037 40.4336)
Al Quds,1,Centro,POINT (-3.7039 40.4165)
Al Socaire,3,Retiro,POINT (-3.6767 40.411)
Al Sur,7,Chamberí,POINT (-3.7037 40.4336)
Al Tran Tran,21,Barajas,POINT (-3.5795 40.4719)
Al son de Cuba,2,Arganzuela,POINT (-3.6975 40.3989)
Al-Aman II,1,Centro,POINT (-3.7039 40.4165)
Al-Mounia,1,Centro,POINT (-3.7039 40.4165)
Ala Madrid,1,Centro,POINT (-3.7039 40.4165)
Alabaster,1,Centro,POINT (-3.7039 40.4165)
Aladino,7,Chamberí,POINT (-3.7037 40.4336)
Alameda,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Alameda,4,Salamanca,POINT (-3.678 40.4297)
Alba,11,Carabanchel,POINT (-3.7409 40.3823)
Albania,1,Centro,POINT (-3.7039 40.4165)
Albariño,21,Barajas,POINT (-3.5795 40.4719)
Albor,2,Arganzuela,POINT (-3.6975 40.3989)
Alcaravea,4,Salamanca,POINT (-3.678 40.4297)
Alcaravea,7,Chamberí,POINT (-3.7037 40.4336)
Alcaravea Gaztambide,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Alcobilla,7,Chamberí,POINT (-3.7037 40.4336)
Alconada,2,Arganzuela,POINT (-3.6975 40.3989)
Alduccio,5,Chamartín,POINT (-3.6781 40.4518)
Alegría,10,Latina,POINT (-3.745 40.3967)
Alfredo's Barbacoa,5,Chamartín,POINT (-3.6781 40.4518)
Alfredo's Barbacoa,4,Salamanca,POINT (-3.678 40.4297)
Algarabía,1,Centro,POINT (-3.7039 40.4165)
Alistano,10,Latina,POINT (-3.745 40.3967)
All U Can Eat,1,Centro,POINT (-3.7039 40.4165)
All U Can Eat,1,Centro,POINT (-3.7039 40.4165)
Allô Pizza,5,Chamartín,POINT (-3.6781 40.4518)
Alma Cheli Matadero,2,Arganzuela,POINT (-3.6975 40.3989)
Alma Llanera,1,Centro,POINT (-3.7039 40.4165)
Alma Of Spain,7,Chamberí,POINT (-3.7037 40.4336)
Almagro,7,Chamberí,POINT (-3.7037 40.4336)
Alpino,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Alquitara,3,Retiro,POINT (-3.6767 40.411)
Alright,4,Salamanca,POINT (-3.678 40.4297)
Alright,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Alta Burgersía,1,Centro,POINT (-3.7039 40.4165)
Altivole,21,Barajas,POINT (-3.5795 40.4719)
Amano,1,Centro,POINT (-3.7039 40.4165)
Amar La Mar,1,Centro,POINT (-3.7039 40.4165)
Amazonia Chic,6,Tetuán,POINT (-3.7033 40.4582)
Amazonia Chic,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Amazonico,4,Salamanca,POINT (-3.678 40.4297)
Amicis,1,Centro,POINT (-3.7039 40.4165)
Amigos,1,Centro,POINT (-3.7039 40.4165)
Amor D Madre,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Amor al Plato,6,Tetuán,POINT (-3.7033 40.4582)
Amordidas,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Amores,1,Centro,POINT (-3.7039 40.4165)
Ampudia,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Amé Rico,1,Centro,POINT (-3.7039 40.4165)
Ana la Santa,1,Centro,POINT (-3.7039 40.4165)
Anarkoli,1,Centro,POINT (-3.7039 40.4165)
Anauco,19,Vicálvaro,POINT (-3.601 40.4008)
Anauco,1,Centro,POINT (-3.7039 40.4165)
Anaur,7,Chamberí,POINT (-3.7037 40.4336)
Anda Jaleo,1,Centro,POINT (-3.7039 40.4165)
Andarica,1,Centro,POINT (-3.7039 40.4165)
Andes,7,Chamberí,POINT (-3.7037 40.4336)
Andoriña,6,Tetuán,POINT (-3.7033 40.4582)
Andrea,4,Salamanca,POINT (-3.678 40.4297)
Anema e Core,1,Centro,POINT (-3.7039 40.4165)
Angelita,1,Centro,POINT (-3.7039 40.4165)
Anica Waksman,5,Chamartín,POINT (-3.6781 40.4518)
Anime Ramen,1,Centro,POINT (-3.7039 40.4165)
Ankara,6,Tetuán,POINT (-3.7033 40.4582)
Annapurna,6,Tetuán,POINT (-3.7033 40.4582)
Annapurna Tandoori,16,Hortaleza,POINT (-3.6457 40.4746)
Anpe,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Anta,2,Arganzuela,POINT (-3.6975 40.3989)
Anthony's Place,7,Chamberí,POINT (-3.7037 40.4336)
Antigua Huevería,7,Chamberí,POINT (-3.7037 40.4336)
Antigua Taquería,1,Centro,POINT (-3.7039 40.4165)
Anto III,1,Centro,POINT (-3.7039 40.4165)
Antoinette,1,Centro,POINT (-3.7039 40.4165)
Antonia Pizza,7,Chamberí,POINT (-3.7037 40.4336)
Antoñita,7,Chamberí,POINT (-3.7037 40.4336)
Apolo,1,Centro,POINT (-3.7039 40.4165)
Aquí Galicia,4,Salamanca,POINT (-3.678 40.4297)
Arahy,1,Centro,POINT (-3.7039 40.4165)
Araldo,1,Centro,POINT (-3.7039 40.4165)
Aram,7,Chamberí,POINT (-3.7037 40.4336)
Arbonaida,1,Centro,POINT (-3.7039 40.4165)
Arcade,6,Tetuán,POINT (-3.7033 40.4582)
Arcade,1,Centro,POINT (-3.7039 40.4165)
Ardemos,7,Chamberí,POINT (-3.7037 40.4336)
Arepa's,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Arequepay,2,Arganzuela,POINT (-3.6975 40.3989)
Arequepay,7,Chamberí,POINT (-3.7037 40.4336)
Ariza,1,Centro,POINT (-3.7039 40.4165)
Arjona,13,Puente de Vallecas,POINT (-3.6622 40.3851)
Armonia & Te,4,Salamanca,POINT (-3.678 40.4297)
Aroma,1,Centro,POINT (-3.7039 40.4165)
Aromas,4,Salamanca,POINT (-3.678 40.4297)
Aroy Thai,6,Tetuán,POINT (-3.7033 40.4582)
Arrabal,1,Centro,POINT (-3.7039 40.4165)
Arrocería Balear,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Arrocería Daniela,1,Centro,POINT (-3.7039 40.4165)
Arrocería Formentera,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Arrocería Gala,1,Centro,POINT (-3.7039 40.4165)
Arrocería Imperial,2,Arganzuela,POINT (-3.6975 40.3989)
Arrocería La Siembra,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Arrocería Marina Ventura,1,Centro,POINT (-3.7039 40.4165)
Arroces y Asados Dalia,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Art & Sushi,7,Chamberí,POINT (-3.7037 40.4336)
Arte 14,16,Hortaleza,POINT (-3.6457 40.4746)
Arte Buen Llantar,16,Hortaleza,POINT (-3.6457 40.4746)
Artemisa,1,Centro,POINT (-3.7039 40.4165)
Artemisa,1,Centro,POINT (-3.7039 40.4165)
Artium,7,Chamberí,POINT (-3.7037 40.4336)
Arturo's,2,Arganzuela,POINT (-3.6975 40.3989)
Arturo's,19,Vicálvaro,POINT (-3.601 40.4008)
Arugula,4,Salamanca,POINT (-3.678 40.4297)
Arzabal,21,Barajas,POINT (-3.5795 40.4719)
Arzábal,4,Salamanca,POINT (-3.678 40.4297)
As Padriñas Novas,4,Salamanca,POINT (-3.678 40.4297)
As de Bastos,6,Tetuán,POINT (-3.7033 40.4582)
Asador & Burger,10,Latina,POINT (-3.745 40.3967)
Asador Argentino,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Asador Avelino,11,Carabanchel,POINT (-3.7409 40.3823)
Asador Betel,11,Carabanchel,POINT (-3.7409 40.3823)
Asador Casa Juan,6,Tetuán,POINT (-3.7033 40.4582)
Asador Castellano,1,Centro,POINT (-3.7039 40.4165)
Asador Cristóbal,6,Tetuán,POINT (-3.7033 40.4582)
Asador Cruz Nevada,14,Moratalaz,POINT (-3.6454 40.4076)
Asador El Molinón,1,Centro,POINT (-3.7039 40.4165)
Asador Enrique,17,Villaverde,POINT (-3.6921 40.3401)
Asador Lekeitio,5,Chamartín,POINT (-3.6781 40.4518)
Asador Limbo,7,Chamberí,POINT (-3.7037 40.4336)
Asador Llopis,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Asador Lorena,18,Villa de Vallecas,POINT (-3.6279 40.3754)
Asador Lujam,11,Carabanchel,POINT (-3.7409 40.3823)
Asador Parrilla,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Asador Pepito's,5,Chamartín,POINT (-3.6781 40.4518)
Asador Pikondo,11,Carabanchel,POINT (-3.7409 40.3823)
Asador Real,1,Centro,POINT (-3.7039 40.4165)
Asador Restaurante Guetaria,6,Tetuán,POINT (-3.7033 40.4582)
Asador Ricardo,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Asador Rías Bajas,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Asador Sotero,6,Tetuán,POINT (-3.7033 40.4582)
Asador de Aranda,1,Centro,POINT (-3.7039 40.4165)
Asador de Enrique,17,Villaverde,POINT (-3.6921 40.3401)
Asador de Hongkongnes,1,Centro,POINT (-3.7039 40.4165)
Asador de la Esquina,5,Chamartín,POINT (-3.6781 40.4518)
Asador del Abad,6,Tetuán,POINT (-3.7033 40.4582)
Asador del Norte,7,Chamberí,POINT (-3.7037 40.4336)
Asador donostiarra,6,Tetuán,POINT (-3.7033 40.4582)
Ascuas,7,Chamberí,POINT (-3.7037 40.4336)
Asgaya,6,Tetuán,POINT (-3.7033 40.4582)
Asia,16,Hortaleza,POINT (-3.6457 40.4746)
Asia Té,6,Tetuán,POINT (-3.7033 40.4582)
