name,cod_distrito,distrito,geometry
#PORNEAT,15,Ciudad Lineal,POINT (-3.6524241 40.4294895)
100 Montaditos,7,Chamberí,POINT (-3.7017361 40.4277604)
100 Montaditos,14,Moratalaz,POINT (-3.6583626 40.4117439)
100 Montaditos,10,Latina,POINT (-3.7223396 40.3943664)
100 Montaditos,9,Moncloa-Aravaca,POINT (-3.7171921 40.4345646)
100 Montaditos,6,Tetuán,POINT (-3.6906199 40.465928)
100 Montaditos,11,Carabanchel,POINT (-3.7636646 40.3859201)
100 Montaditos,1,Centro,POINT (-3.7037401 40.4148303)
100 Montaditos,21,Barajas,POINT (-3.5778891 40.4740254)
100 Montaditos,5,Chamartín,POINT (-3.6665993 40.4477316)
100 Montaditos,1,Centro,POINT (-3.7003699 40.4152444)
100 Montaditos,18,Villa de Vallecas,POINT (-3.6208338 40.3780044)
100 Montaditos,2,Arganzuela,POINT (-3.6793779 40.394229)
100 Montaditos,2,Arganzuela,POINT (-3.6950016 40.4010374)
100 Montaditos,16,Hortaleza,POINT (-3.6409674 40.4697262)
100 Montaditos,1,Centro,POINT (-3.7080763 40.4114195)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.6072735 40.4342578)
100 Montaditos,1,Centro,POINT (-3.7107053 40.4186332)
100 Montaditos,4,Salamanca,POINT (-3.6739326 40.423714)
100 Montaditos,7,Chamberí,POINT (-3.7041143 40.4325721)
100 Montaditos,6,Tetuán,POINT (-3.695655 40.4521594)
100 Montaditos,1,Centro,POINT (-3.7071037 40.416326)
100 Montaditos,6,Tetuán,POINT (-3.7075219 40.479755)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.5871421 40.4474241)
100 Montaditos,7,Chamberí,POINT (-3.697266 40.4351388)
100 Montaditos,20,San Blas-Canillejas,POINT (-3.6207031 40.418395)
100 Montaditos,6,Tetuán,POINT (-3.7036959 40.4474824)
100 Montaditos,7,Chamberí,POINT (-3.713093 40.4420206)
100 Montaditos,12,Usera,POINT (-3.6957443 40.3710329)
100 Montaditos,1,Centro,POINT (-3.6957034 40.4158696)
100 Montaditos,11,Carabanchel,POINT (-3.760616 40.3623187)
100 Montaditos,7,Chamberí,POINT (-3.712753 40.4254435)
100 Montaditos,1,Centro,POINT (-3.7097301 40.4224533)
100 Montaditos,16,Hortaleza,POINT (-3.6540048 40.4926999)
100 Montaditos,16,Hortaleza,POINT (-3.6401791 40.4692169)
100 Montaditos,5,Chamartín,POINT (-3.6768868 40.4557398)
100 Montaditos,1,Centro,POINT (-3.7087304 40.4136118)
100 Montaditos,2,Arganzuela,POINT (-3.710609 40.3951829)
100 Montaditos,1,Centro,POINT (-3.7019216 40.4189833)
100 Montaditos,4,Salamanca,POINT (-3.6756196 40.4283559)
100 Montaditos,2,Arganzuela,POINT (-3.6927647 40.4087301)
100 Montaditos,7,Chamberí,POINT (-3.6962385 40.4266136)
100 Montaditos,16,Hortaleza,POINT (-3.6660539 40.4861319)
100 Montaditos,1,Centro,POINT (-3.7244527 40.4136624)
100 Montaditos,3,Retiro,POINT (-3.6708895 40.4070652)
100 Montaditos,1,Centro,POINT (-3.7069153 40.4161946)
100 Montaditos,6,Tetuán,POINT (-3.6975155 40.46062)
1407 Madrid,9,Moncloa-Aravaca,POINT (-3.7151444 40.4386987)
19 Sushi,1,Centro,POINT (-3.7031113 40.419717)
2 Arcos,18,Villa de Vallecas,POINT (-3.6234527 40.3812284)
20 a la cata,4,Salamanca,POINT (-3.6753581 40.4268974)
37 Tapitas,7,Chamberí,POINT (-3.7088468 40.4286679)
38 de Larumbe,4,Salamanca,POINT (-3.6877853 40.4327302)
40 Tapas,4,Salamanca,POINT (-3.6733022 40.4273025)
40ycuatro,18,Villa de Vallecas,POINT (-3.6085759 40.3675995)
44 Sushi Bar,1,Centro,POINT (-3.6970981 40.4198354)
5 Reinas,8,Fuencarral-El Pardo,POINT (-3.6721542 40.5025746)
500° Crust,2,Arganzuela,POINT (-3.6791623 40.3940071)
68 Yong Tai,2,Arganzuela,POINT (-3.6813069 40.3962464)
80 grados,8,Fuencarral-El Pardo,POINT (-3.6669607 40.5086243)
87 Millas,7,Chamberí,POINT (-3.7101673 40.4376192)
99 Sushi Bar,4,Salamanca,POINT (-3.6886087 40.4264714)
A Cañada,1,Centro,POINT (-3.69567 40.4112109)
A Cañada,2,Arganzuela,POINT (-3.7014847 40.4047549)
A Cañada,1,Centro,POINT (-3.7004479 40.4109653)
A Lareira,1,Centro,POINT (-3.7043834 40.4113825)
A Miña Gaita,1,Centro,POINT (-3.7065737 40.4191255)
A Pota D'Ouro,1,Centro,POINT (-3.7206309 40.4121397)
A Ri Rang,1,Centro,POINT (-3.709399 40.4205846)
A Ría de Noia,1,Centro,POINT (-3.7250941 40.4138754)
A la caña,20,San Blas-Canillejas,POINT (-3.628072 40.4404657)
A las bravas,13,Puente de Vallecas,POINT (-3.6577231 40.3932833)
A picnic,3,Retiro,POINT (-3.6757665 40.4115717)
A'Barca Muxia,12,Usera,POINT (-3.7027464 40.3834186)
A'Barra,4,Salamanca,POINT (-3.6878292 40.4386539)
A'Brasas,11,Carabanchel,POINT (-3.7257576 40.3796168)
A'Gaviotiña,17,Villaverde,POINT (-3.6974455 40.3581566)
AREDNA,7,Chamberí,POINT (-3.7007642 40.4265744)
ARIMA,7,Chamberí,POINT (-3.6992459 40.4407523)
AS89,16,Hortaleza,POINT (-3.6378517 40.4624655)
Abanto Taberna de Barrio,4,Salamanca,POINT (-3.6669606 40.4317498)
Abascal,7,Chamberí,POINT (-3.6944587 40.4378817)
Abbasïd,1,Centro,POINT (-3.6968614 40.4228117)
Ablanedo,7,Chamberí,POINT (-3.7178653 40.4288618)
