name,geometry_resto
Naveira do Mar,POINT (439999.14881899627 4478200.391605518)
La parrilla del sur,POINT (445684.97239365004 4469202.130271481)
Café Comercial,POINT (440456.0469348769 4475578.07698374)
Honest Greens,POINT (440477.66204746225 4475391.225145263)
La Parrilla de Nino,POINT (439595.17573574616 4475258.195231528)
Taj Mahal,POINT (439614.67812629446 4475188.592100803)
La Pomarada,POINT (439644.71155578084 4475284.704245128)
Sexto,POINT (440927.0515110636 4475190.077625019)
Brasa y Leña,POINT (439861.5304877467 4474197.836191231)
100 Montaditos,POINT (439869.32726916095 4473906.836163362)
La Quinta,POINT (437364.5651905062 4483813.128834446)
El Viajero,POINT (439744.7058570291 4473689.9193665525)
Que trabaje Rita,POINT (439709.8944531717 4473736.744291148)
Tío Timón,POINT (439612.9923148919 4473858.665714694)
Taquería del Alamillo,POINT (439529.78297014267 4473921.067193237)
La Casa de Mónico,POINT (433813.38158619567 4479697.990654144)
Salón Los 5 Pinos,POINT (451804.99879612506 4477765.265392108)
Restaurante Aragón,POINT (451770.12890455924 4477766.68873485)
Casa Mingo,POINT (438477.73856469773 4475179.078350222)
Restaurante A Casiña,POINT (437987.5109083317 4474154.5797830755)
Terraza El Parque Félix,POINT (436138.6295081565 4473301.154050213)
El Frisón,POINT (437774.9300887435 4475249.520049981)
Casa Ginés,POINT (441922.9570089574 4481861.070451009)
Mesón Gallego,POINT (441294.5085403738 4481907.627109735)
Queen Burger Gourmet,POINT (441348.5555498863 4481882.370642206)
tele-bocata,POINT (441313.61026546394 4481963.447273602)
,POINT (441785.5509506668 4481745.081276195)
,POINT (441770.345856314 4481753.891530693)
Casa Mouriño,POINT (441554.8265613271 4481878.480197458)
Tapería de Fuencarral,POINT (441959.337478669 4481804.5627313005)
Taberna la Tortuga,POINT (439425.9126377797 4477597.285332268)
Restaurante otavaleño,POINT (441585.61497371277 4482017.920549992)
Restaurante Fereva,POINT (441562.9553814349 4481873.12161446)
Cafetería Filosofía,POINT (438116.0866237504 4477810.861017121)
Amazonia Chic,POINT (450248.17080528475 4477416.146734596)
Fuente de la Fama,POINT (440794.08588778763 4473672.557628528)
A Cañada,POINT (440975.31928478455 4473631.532883364)
Arrocería Gala,POINT (440922.32712448674 4473766.945027168)
El Fogón Verde,POINT (441120.8584189047 4473750.586305708)
Moratin 40,POINT (441017.5150046868 4473780.260158932)
El Rábano,POINT (440973.99340566085 4473878.088425563)
Terra Mundi,POINT (440943.5240354896 4473899.619375465)
Edelweiss,POINT (440898.6783065436 4474266.24954748)
El Secreto de Castilla,POINT (440902.2800473939 4474294.783117678)
Sagardi,POINT (440901.479733154 4474311.651308907)
Vegetariano,POINT (440851.1983570603 4474255.379041108)
Uskar,POINT (440523.5412930135 4472844.914808471)
A Cañada,POINT (440476.2748290392 4472918.820365865)
El Valle,POINT (440635.4929757826 4472804.598463174)
Tia Julia,POINT (440715.09594851354 4472937.054263373)
Ramen Kagura,POINT (440830.059499916 4472964.475215539)
Mama Teresa Burger,POINT (440903.47978406557 4472812.617073936)
Atocha Tandoori,POINT (441001.6142721927 4472949.780803363)
Arcade,POINT (439631.50824470597 4474091.775130489)
Cruz Blanca,POINT (439745.4464988319 4474135.783014453)
Jiao Jiao,POINT (439765.9952962443 4474122.985327598)
Taste Gallery,POINT (439809.4444498609 4474102.810578652)
Taberneros,POINT (439727.1785090822 4474213.812204793)
Arbonaida,POINT (439705.85968200315 4474226.827111537)
Grazie Mille,POINT (439975.3333282124 4474183.980807424)
