cod_distrito,distrito,geometry,num_restaurantes
1,Centro,POINT (-412316.261949206 4926652.8056437345),1363
2,Arganzuela,POINT (-411603.817208129 4924079.7936662575),243
3,Retiro,POINT (-409288.37179962895 4925848.667118731),136
4,Salamanca,POINT (-409433.0871376602 4928583.006342677),403
5,Chamartín,POINT (-409444.2190867395 4931815.478580107),170
6,Tetuán,POINT (-412249.4702547301 4932751.777624053),371
7,Chamberí,POINT (-412293.9980510474 4929153.365411702),628
8,Fuencarral-El Pardo,POINT (-412817.19965777575 4939176.609710171),180
9,Moncloa-Aravaca,POINT (-414999.06167732395 4929811.5131371515),102
10,Latina,POINT (-416891.49302080943 4923758.214469633),108
11,Carabanchel,POINT (-416435.0831085571 4921653.591873515),108
12,Usera,POINT (-412683.6162688238 4921463.6133657945),88
13,Puente de Vallecas,POINT (-407674.2391831264 4922062.788804204),43
14,Moratalaz,POINT (-405804.07173779944 4925351.596174392),48
15,Ciudad Lineal,POINT (-406505.3845297971 4930893.896298118),108
16,Hortaleza,POINT (-405837.4675850375 4935151.451127524),137
17,Villaverde,POINT (-411002.69195784535 4915488.468024191),34
18,Villa de Vallecas,POINT (-403855.9806489172 4920645.28631601),71
19,Vicálvaro,POINT (-400861.4863465781 4924357.529610965),38
20,San Blas-Canillejas,POINT (-402486.7509121599 4930045.531833047),106
21,Barajas,POINT (-398468.11729452276 4934756.34263267),75
